,0
287,3.11E-06
413,0.000384384
442,5.79E-06
466,3.11E-06
498,3.11E-06
644,5.79E-06
688,3.11E-06
692,3.11E-06
701,3.11E-06
708,5.79E-06
713,3.11E-06
723,5.79E-06
759,3.11E-06
794,3.11E-06
800,0.000384384
902,5.79E-06
916,5.79E-06
927,5.79E-06
970,3.11E-06
1026,0.0003817
1090,3.11E-06
1109,5.79E-06
1111,5.79E-06
1158,5.79E-06
1190,5.79E-06
1197,5.79E-06
1206,3.11E-06
103,4.01E-73
358,0
22,0.000191309
73,0.000274056
97,0.000192219
154,0.000660284
186,0.000794498
199,0.00073504
232,0.00055672
283,0.00070562
306,0.000135904
321,0.000147952
417,0.000135904
434,0.000419832
452,0.00053226
511,0.000191309
515,0.0003934
517,0.000656721
563,0.000302983
574,0.000192219
684,0.00070837
812,0.00071709
870,0.000738183
1032,0.000802168
1043,0.000302983
1118,0.000654511
1130,0.000799076
1162,0.000803295
1179,0.000774531
173,3.96E-05
206,3.96E-05
326,3.96E-05
404,3.96E-05
431,3.96E-05
460,0.000321722
544,3.96E-05
545,3.96E-05
613,3.96E-05
721,3.96E-05
738,3.96E-05
858,3.96E-05
960,3.96E-05
975,3.96E-05
1005,3.96E-05
1059,3.96E-05
1114,3.96E-05
1117,3.96E-05
131,2.02E-73
15,2.74E-72
183,1.48E-73
255,7.53E-73
257,1.48E-73
305,5.25E-73
318,2.95E-73
525,1.48E-73
677,4.16E-73
737,1.21E-72
753,4.16E-73
849,2.69E-73
881,1.32E-72
915,1.11E-72
919,6.04E-73
185,0.000376311
539,0.000754579
580,0.001277228
923,0.000376311
1150,0.000376311
140,0.000560489
55,0.000532353
114,5.68E-05
174,0.000257496
240,0.000111675
346,5.68E-05
356,0.000624756
366,0.000714263
432,0.000609949
500,0.000655932
657,0.000111675
746,0.000201181
851,0.000626938
920,0.000605895
1023,0.000223394
1086,0.000201181
1183,0.000524871
995,3.84E-05
1137,3.84E-05
105,3.75E-05
155,3.75E-05
215,3.75E-05
269,0.000198514
334,7.41E-05
335,3.75E-05
489,3.75E-05
625,3.75E-05
652,3.75E-05
855,0.000239563
891,3.75E-05
918,3.75E-05
1081,0.000198514
1222,3.75E-05
58,4.34E-05
615,1.70E-05
789,1.70E-05
798,1.70E-05
169,0.000429951
101,0.001043855
406,0.000522649
776,0.001043855
1094,0.001473807
205,0.000600744
211,0.000600744
218,0.000600744
348,0.000600744
350,0.001174213
364,0.001100911
384,0.000600744
440,0.000600744
483,0.002500319
592,0.000600744
793,0.001734702
815,0.001975479
829,0.000600744
846,0.000951999
867,0.002711268
1054,0.000600744
1098,0.000600744
267,0.000429951
307,0.000430473
337,0.00343481
510,0.000429951
516,0.000429951
966,0.000429951
187,0.000933037
391,0.000360013
536,0.000360013
958,0.000360013
1037,0.001460346
31,8.04E-73
262,1.99E-73
388,4.01E-73
433,1.99E-73
465,1.85E-72
529,1.99E-73
547,1.99E-73
587,4.33E-73
623,1.99E-73
637,1.99E-73
651,1.99E-73
790,1.22E-72
795,1.99E-73
868,1.99E-73
937,3.86E-73
1039,1.99E-73
1078,4.01E-73
1136,1.99E-73
1161,4.01E-73
1188,4.01E-73
1193,1.99E-73
1196,1.99E-73
191,0.000150346
194,0.000560489
1225,0.001047554
1213,0.000158087
203,0.002008017
896,0.00078175
5,9.15E-171
19,9.15E-171
39,9.15E-171
70,9.15E-171
188,9.15E-171
243,9.15E-171
251,9.15E-171
292,9.15E-171
304,9.15E-171
363,9.15E-171
375,9.15E-171
381,9.15E-171
469,9.15E-171
470,9.15E-171
507,9.15E-171
520,9.15E-171
543,9.15E-171
558,9.15E-171
568,9.15E-171
634,9.15E-171
717,9.15E-171
756,9.15E-171
778,9.15E-171
787,9.15E-171
809,9.15E-171
810,9.15E-171
852,9.15E-171
950,9.15E-171
973,9.15E-171
1010,9.15E-171
1115,9.15E-171
1159,9.15E-171
207,3.28E-73
23,3.24E-73
72,6.59E-73
118,6.59E-73
153,3.24E-73
172,9.30E-73
177,9.30E-73
178,6.59E-73
210,1.21E-72
263,3.24E-73
314,3.24E-73
315,6.59E-73
342,3.24E-73
379,3.24E-73
396,5.09E-73
399,3.24E-73
405,3.24E-73
428,3.24E-73
457,9.30E-73
485,8.46E-73
513,3.24E-73
518,5.09E-73
519,6.59E-73
582,9.30E-73
599,8.44E-73
612,3.24E-73
653,5.09E-73
681,9.30E-73
719,3.24E-73
730,6.59E-73
745,7.68E-73
808,1.07E-72
822,9.30E-73
845,8.46E-73
866,9.30E-73
882,1.06E-72
921,9.30E-73
962,3.24E-73
979,9.30E-73
1022,3.24E-73
1045,9.30E-73
1051,1.02E-72
1069,3.24E-73
1092,9.30E-73
209,0.000297787
258,6.95E-73
333,1.16E-72
783,2.34E-73
1106,2.34E-73
219,8.47E-06
27,4.09E-05
96,4.09E-05
281,0.000193835
293,4.09E-05
347,0.000202093
359,0.000161043
383,4.09E-05
426,4.09E-05
476,4.09E-05
565,0.000202093
579,0.000161043
597,4.09E-05
617,4.09E-05
618,4.09E-05
639,4.09E-05
670,0.000201983
742,4.09E-05
791,4.09E-05
836,4.09E-05
959,4.09E-05
1046,4.09E-05
1083,4.09E-05
1097,0.000161043
1140,4.09E-05
1156,0.000161043
885,0.000205717
231,2.02E-73
450,1.21E-73
341,0.000440539
137,0.002555156
621,0.000824098
945,0.000459806
1122,0.000459806
1155,0.001931273
311,0.000142422
419,0.000142422
478,0.000142422
266,0.000998355
28,0.000422506
253,0.000422506
403,0.000422506
424,0.001594422
429,0.000422506
459,0.001772116
649,0.001594422
879,0.000869588
996,0.001794439
272,2.02E-73
38,1.90E-73
120,6.73E-73
168,1.90E-73
265,6.96E-73
296,3.17E-73
458,3.61E-73
672,1.90E-73
804,6.73E-73
40,0.000465083
294,0.000357792
389,0.000408768
562,0.000408768
709,0.000465083
1192,0.000357792
3,1.85E-73
14,1.85E-73
111,1.85E-73
179,1.85E-73
239,3.72E-73
371,1.85E-73
435,1.85E-73
551,1.85E-73
636,1.85E-73
743,1.85E-73
878,1.85E-73
972,1.85E-73
980,1.85E-73
1007,4.96E-73
1042,1.85E-73
1076,1.85E-73
1153,1.85E-73
1025,0.000271799
175,0.000369289
952,0.000369289
1017,0.001474308
309,0.000889674
576,0.000378593
606,0.002253659
312,0.001761244
196,0.00034928
276,0.00034928
378,0.000731044
527,0.001559251
767,0.00034928
964,0.00034928
1031,0.001559251
1167,0.001395693
1171,0.00034928
320,8.47E-06
176,3.99E-05
224,3.99E-05
409,3.99E-05
570,3.99E-05
844,8.00E-05
949,8.00E-05
1013,3.99E-05
1075,3.99E-05
1152,8.00E-05
850,0.000142592
161,0.000113589
1096,0.000113589
1185,0.000113589
1201,0.000226797
336,0.000560489
42,3.28E-05
116,3.28E-05
123,3.28E-05
152,3.28E-05
344,3.28E-05
412,6.94E-05
488,3.28E-05
509,3.28E-05
561,3.28E-05
663,3.28E-05
696,3.28E-05
875,3.28E-05
981,3.28E-05
1035,3.28E-05
1133,3.28E-05
1224,3.28E-05
421,0.000254111
1107,6.77E-05
1209,6.77E-05
270,0.0007617
540,0.001713636
700,0.001131078
733,0.001131078
1033,0.0007617
1149,0.001617288
17,0.001276106
109,0.000551273
319,0.000551273
368,0.000551273
449,0.000551273
552,0.000913388
593,0.000551273
