,0
939,0.000817343
1060,0.000801239
1166,0.000801239
1221,0.000846145
167,0.000802772
250,0.000811697
486,0.000802772
659,0.000803442
662,0.000830755
835,0.00080897
81,0.000815277
52,0.000800037
301,0.000800037
601,0.00080464
930,0.000810232
943,0.000800037
1019,0.000814352
1057,0.000800037
1113,0.000849793
124,0.000799046
150,0.000799046
162,0.000841322
216,0.000802815
242,0.000799046
252,0.000799046
351,0.000799046
380,0.000803059
393,0.000820953
411,0.000804848
530,0.000811958
535,0.000799046
650,0.000877221
718,0.000829136
750,0.000804515
775,0.00081716
779,0.000799046
842,0.000799046
904,0.000811951
963,0.000799046
982,0.000799046
994,0.000816922
91,0.000800217
47,0.000798674
160,0.000812775
317,0.000798674
462,0.000821387
581,0.000803748
622,0.000803748
640,0.000819476
766,0.000798674
814,0.000798674
929,0.000808097
1145,0.000851126
1184,0.000848126
135,0.000817958
290,0.000809603
362,0.000848272
439,0.000857079
463,0.000852917
559,0.000804051
689,0.000799568
741,0.000848272
765,0.000804783
1163,0.000804105
98,0.00080068
57,0.000857491
117,0.000830059
156,0.000874723
157,0.000848166
237,0.000834596
329,0.000862104
352,0.000858412
360,0.000811531
401,0.000800139
402,0.000800139
566,0.00086158
575,0.00085305
654,0.000834139
660,0.00085876
690,0.000848166
714,0.000800139
722,0.000838599
820,0.000838599
912,0.000818386
948,0.00085305
999,0.000818386
1006,0.00087147
1074,0.000848071
102,0.000799969
53,0.00080176
129,0.000806586
190,0.000799017
287,0.000799017
413,0.000806586
442,0.00080176
466,0.000799017
498,0.000799017
644,0.00080176
688,0.000799017
692,0.000799017
701,0.000799017
708,0.00080176
713,0.000799017
723,0.00080176
759,0.000799017
794,0.000799017
800,0.000806586
902,0.00080176
916,0.00080176
927,0.00080176
970,0.000799017
1026,0.000803843
1090,0.000799017
1109,0.00080176
1111,0.00080176
1158,0.00080176
1190,0.00080176
1197,0.00080176
1206,0.000799017
103,0.000802357
358,0.000915458
22,0.000807666
73,0.000813297
97,0.00080754
154,0.00082528
186,0.00083368
199,0.000827644
232,0.0008285
283,0.000828089
306,0.00080536
321,0.00081266
417,0.00080536
434,0.000822423
452,0.000831091
511,0.000807666
515,0.000818972
517,0.000825208
563,0.000812209
574,0.00080754
684,0.000836961
812,0.000827451
870,0.000831499
1032,0.000834812
1043,0.000812209
1118,0.000825388
1130,0.0008333
1162,0.000839152
1179,0.000833972
173,0.000798798
206,0.000798798
326,0.000798798
404,0.000798798
431,0.000798798
460,0.000826276
544,0.000798798
545,0.000798798
613,0.000798798
721,0.000798798
738,0.000798798
858,0.000798798
960,0.000798798
